802,kenny rogers  kim carnes
803,dan fogelberg
804,the sos band
805,barbra streisand  donna summer
806,kim carnes
807,m
808,the pretenders
809,ray goodman  brown
810,shalamar
811,rocky burnette
812,bob seger and the silver bullet band
813,jd souther
814,pete townshend
815,steve forbert
816,tom petty and the heartbreakers
817,irene cara
818,bob seger
819,benny mardones
820,pure prairie league
821,genesis
822,the dirt band
823,neil  dara sedaka
824,charlie dore
825,mickey gilley
826,pat benatar
827,prince
828,charlie daniels band
829,diana ross  lionel richie
830,reo speedwagon
831,joey scarbury
832,sheena easton
833,juice newton
834,grover washington jr  bill withers
835,stars on 45
836,barbra streisand  barry gibb
837,the oak ridge boys
838,the manhattan transfer
839,marty balin
840,champaign
841,the greg kihn band
842,the alan parsons project
843,bruce springsteen
844,franke and the knockouts
845,terri gibbs
846,tierra
847,dottie west  kenny rogers
848,journey
849,the police
850,gary us bonds
851,stevie nicks  tom petty
852,delbert mcclinton
853,john cougar
854,steve winwood
855,billy squier
856,alabama
857,george duke  stanley clarke
858,john schneider
859,olivia newtonjohn  cliff richard
860,devo
861,rosanne cash
862,survivor
863,joan jett and the blackhearts
864,paul mccartney and stevie wonder
865,the j geils band
866,the human league
867,soft cell
868,vangelis
869,quarterflash
870,daryl hall  john oates
871,tommy tutone
872,bertie higgins
873,willie nelson
874,the cars
875,dazz band
876,the gogos
877,ray parker jr
878,the motels
879,men at work
880,stevie nicks and don henley
881,charlene
882,asia
883,buckner  garcia
884,lindsey buckingham
885,huey lewis and the news
886,38 special
887,royal philharmonic orchestra
888,karla bonoff
889,quincy jones featuring james ingram
890,a flock of seagulls
891,deniece williams
892,laura branigan
893,joan jett  the blackhearts
894,michael mcdonald
895,billy idol
896,kim wilde
897,michael murphey
898,loverboy
899,greg guidry
900,stevie nicks
901,patti austin and james ingram
902,michael sembello
903,eurythmics
904,culture club
905,eddie rabbitt and crystal gayle
906,dexys midnight runners
907,duran duran
908,frida
909,eddy grant
910,thomas dolby
911,joe cocker and jennifer warnes
912,lionel richie
913,after the fire
914,taco
915,men without hats
916,toni basil
917,phil collins
918,kenny rogers and sheena easton
919,stray cats
920,naked eyes
921,don henley
922,michael jackson and paul mccartney
923,kajagoogoo
924,adam ant
925,the clash
926,madness
927,the tubes
928,bryan adams
929,debarge
930,sammy hagar
931,joe jackson
932,moving pictures
933,def leppard
934,musical youth
935,spandau ballet
936,frank stallone
937,peabo bryson and roberta flack
938,tina turner
939,paul mccartney and michael jackson
940,john waite
941,cyndi lauper
942,pointer sisters
943,the romantics
944,prince and the revolution
945,thompson twins
946,rockwell
947,matthew wilder
948,nena
949,dan hartman
950,sheila e
951,steve perry
952,madonna
953,corey hart
954,night ranger
955,scandal
956,peabo bryson
957,shannon
958,julio iglesias and willie nelson
959,billy ocean
960,kenny rogers and dolly parton
961,mike reno and ann wilson
962,zz top
963,quiet riot
964,tracey ullman
965,bananarama
966,wang chung
967,kc  the sunshine band
968,ollie  jerry
969,john cougar mellencamp
970,ratt
971,christine mcvie
972,john cafferty  the beaver brown band
973,peter schilling
974,james ingram and michael mcdonald
975,wham featuring george michael
976,wham
977,chaka khan
978,tears for fears
979,aha
980,paul young
981,philip bailey and phil collins
982,starship
983,simple minds
984,john parr
985,glenn frey
986,usa for africa
987,whitney houston
988,new edition
989,jan hammer
990,teena marie
991,ready for the world
992,the honeydrippers
993,howard jones
994,jack wagner
995,phil collins and marilyn martin
996,murray head
997,sting
998,animotion
999,harold faltermeyer
1000,sade
1001,mary jane girls
1002,til tuesday
1003,abc
1004,katrina and the waves
1005,julian lennon
1006,power station
1007,ashford  simpson
1008,david lee roth
1009,the time
1010,dionne and friends dionne warwick gladys knight elton john and stevie wonder
1011,klymaxx
1012,patti labelle and michael mcdonald
1013,mr mister
1014,eddie murphy
1015,atlantic starr
1016,gloria loring and carl anderson
1017,peter cetera
1018,pet shop boys
1019,simply red
1020,peter gabriel
1021,nu shooz
1022,berlin
1023,falco
1024,bon jovi
1025,janet jackson
1026,glass tiger
1027,belinda carlisle
1028,level 42
1029,miami sound machine
1030,sly fox
1031,the bangles
1032,stacey q
1033,the jets
1034,orchestral manoeuvres in the dark
1035,inxs
1036,jermaine stewart
1037,lisa lisa and cult jam
1038,the outfield
1039,scritti politti
1040,el debarge
1041,cameo
1042,mike  the mechanics
1043,baltimora
1044,timex social club
1045,dream academy
1046,regina
1047,arcadia
1048,rundmc
1049,anita baker
1050,moody blues
1051,starpoint
1052,daryl hall
1053,force mds
1054,george michael
1055,gregory abbott
1056,robbie nevil
1057,whitesnake
1058,bruce hornsby and the range
1059,los lobos
1060,crowded house
1061,u2
1062,jody watley
1063,tiffany
1064,billy vera and the beaters
1065,chris de burgh
1066,debbie gibson
1067,bill medley and jennifer warnes
1068,peter cetera and amy grant
1069,club nouveau
1070,cutting crew
1071,tpau
1072,georgia satellites
1073,aretha franklin and george michael
1074,linda ronstadt and james ingram
1075,samantha fox
1076,michael jackson with siedah garrett
1077,suzanne vega
1078,richard marx
1079,kenny g
1080,europe
1081,the system
1082,expose
1083,dan hill featuring vonda shepard
1084,swing out sister
1085,ben e king
1086,levert
1087,gloria estefan and miami sound machine
1088,the whispers
1089,lou gramm
1090,glenn medeiros
1091,bruce willis
1092,breakfast club
1093,beastie boys
1094,pseudo echo
1095,rick astley
1096,guns n roses
1097,breathe
1098,terence trent darby
1099,the escape club
1100,taylor dayne
1101,johnny hates jazz
1102,bobby mcferrin
1103,ub40
1104,patrick swayze featuring wendy fraser
1105,kylie minogue
1106,pet shop boys with dusty springfield
1107,information society
1108,roger troutman
1109,pebbles
1110,pretty poison
1111,keith sweat
1112,tracy chapman
1113,icehouse
1114,bobby brown
1115,brenda russell featuring joe esposito
1116,paul carrack
1117,al b sure
1118,brenda k starr
1119,poison
1120,white lion
1121,paula abdul
1122,milli vanilli
1123,will to power
1124,boy meets girl
1125,gloria estefan
1126,warrant
1127,roxette
1128,fine young cannibals
1129,new kids on the block
1130,martika
1131,tone loc
1132,bad english
1133,neneh cherry
1134,sheriff
1135,young mc
1136,great white
1137,michael damian
1138,the b52s
1139,love and rockets
1140,dino
1141,skid row
1142,karyn white
1143,the cure
1144,the jeff healey band
1145,surface
1146,rem
1147,lita ford and ozzy osbourne
1148,cher and peter cetera
1149,when in rome
1150,edie brickell  new bohemians
1151,boys club
1152,vanessa williams
1153,babyface
1154,deon estus
1155,safire
1156,ann wilson and robin zander
1157,soul ii soul
1158,wilson phillips
1159,sinead oconnor
1160,bell biv devoe
1161,mariah carey
1162,en vogue
1163,jon bon jovi
1164,michael bolton
1165,technotronic featuring felly
1166,paula abdul and the wild pair
1167,maxi priest
1168,alannah myles
1169,linda ronstadt and aaron neville
1170,lisa stansfield
1171,calloway
1172,johnny gill
1173,glenn medeiros and bobby brown
1174,sweet sensation
1175,snap
1176,nelson
1177,jane child
1178,seduction
1179,linear
1180,james ingram
1181,tommy page
1182,soul ii soul featuring caron wheeler
1183,luther vandross
1184,vanilla ice
1185,mc hammer
1186,michelle
1187,after 7
1188,digital underground
1189,tom petty
1190,depeche mode
1191,tesla
1192,tyler collins
1193,go west
1194,technotronic featuring ya kid k
1195,faith no more
1196,black box
1197,d mob featuring cathy dennis
1198,the cover girls
1199,biz markie
1200,ame lorain
1201,"m""otley cr""ue"
1202,jive bunny and the mastermixers
1203,mellow man ace
1204,kyper
1205,color me badd
1206,cc music factory
1207,timmy t
1208,emf
1209,extreme
1210,hifive
1211,amy grant
1212,boyz ii men
1213,stevie b
1214,damn yankees
1215,jesus jones
1216,marky mark and the funky bunch featuring loleatta holloway
1217,tara kemp
1218,ralph tresvant
1219,cathy dennis
1220,londonbeat
1221,natural selection
1222,lenny kravitz
1223,celine dion
1224,dj jazzy jeff  the fresh prince
1225,scorpions
1226,rythm syndicate
1227,firehouse
1228,tracie spencer
1229,divinyls
1230,dna featuring suzanne vega
1231,another bad creation
1232,bonnie raitt
1233,corina
1234,the klf
1235,enigma
1236,ll cool j
1237,prince and the new power generation
1238,heavy d  the boyz
1239,seal
1240,michael w smith
1241,chris isaak
1242,oleta adams
1243,tevin campbell
1244,"queensr""yche"
1245,gerardo
1246,deeelite
1247,chesney hawkes
1248,naughty by nature
1249,winger
1250,saltnpepa
1251,sir mixalot
1252,kris kross
1253,tlc
1254,red hot chili peppers
1255,jon secada
1256,shanice
1257,mr big
1258,right said fred
1259,billy ray cyrus
1260,tom cochrane
1261,cece peniston
1262,patty smyth
1263,house of pain
1264,george michael and elton john
1265,joe public
1266,jodeci
1267,nirvana
1268,sophie b hawkins
1269,arrested development
1270,luther vandross and janet jackson
1271,pm dawn
1272,shakespears sister
1273,hammer
1274,kws
1275,mint condition
1276,toad the wet sprocket
1277,the heights
1278,celine dion and peabo bryson
1279,marky mark and the funky bunch
1280,ugly kid joe
1281,n2deep
1282,kathy troccoli
1283,jade
1284,mary j blige
